name,slug,sku,price,discount_price,stock,is_active,category,brand,description,short_description,material,delivery_info,care_instructions,tags,warranty_months,warranty_type,best_seller,is_offered,is_featured,is_new_arrival,offer_name,meta_title,meta_description,shipping_weight,shipping_length,shipping_width,shipping_height,shipping_box_count,replace_images,upload_to,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_links
Mercury Steel Cot,jf-5151,jf-5151,27299,20999,50,TRUE,Beds,Spacecrafts,"The Mercury Steel Cot sets a standard for durability and practicality, crafted from high-quality steel to ensure long-lasting comfort in various settings. This single steel cot is ideal for both residential and commercial environments, offering robust support and stability.  Durability and Construction: Constructed with sturdy steel tubing, It is designed to withstand regular use without compromising on strength. The frame provides a stable platform for sleeping, ensuring reliable performance over time.  Design and Aesthetics: The Mercury Steel Cot features a straightforward design that prioritizes functionality and utility. Its clean lines and minimalist appearance make it suitable for a wide range of interiors, blending seamlessly with different décor styles.  Comfort and Size: Accommodating a standard single mattress, the cot offers ample space for a comfortable night's sleep. Its elevated platform promotes airflow and ventilation underneath, enhancing comfort and providing a cooler sleeping environment.  Practicality and Space Efficiency: Designed with efficiency in mind, the Mercury Steel Cot's compact footprint is ideal for maximizing space in smaller rooms or living areas. Its elevated structure also allows for convenient storage underneath, optimizing floor space and offering a practical solution for organizing belongings.  Assembly and Maintenance: Setting up the Mercury Steel Cot is straightforward and requires minimal assembly. The steel frame is easy to clean and maintain, ensuring lasting durability and resistance to wear and tear over time.  Versatility and Usage: The Mercury Steel Cot is versatile and suitable for various applications. It serves well as a primary bed for everyday use or as an additional sleeping arrangement for guests in homes, hostels, campsites, and more.  Conclusion: In conclusion, the Mercury Steel Cot provides a reliable sleeping solution with its robust steel construction and practical design. Whether used in residential or commercial settings, this single steel cot offers durability, comfort, and efficiency, making it a valuable addition to any space seeking dependable sleeping accommodations.",,,Delivery Charges Applicable,,Metal Cots wooden legs,12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,60,,1,TRUE,both,https://drive.google.com/file/d/1cM90Sx9EdvJjbrqo00FVrIeeu6sgY02C/view?usp=drivesdk,,,,,,,,,,
Luminous Steel Cot,jf-5909,jf-5909,36399,27999,50,TRUE,Beds,Spacecrafts,"Luminous Steel Cot is a distinguished brand specializing in the creation of exquisite bedroom furniture, particularly renowned for their metal king-sized beds, metal queen-sized beds, and steel cots with storage options. Their commitment to quality craftsmanship and innovative design ensures that each piece not only enhances the aesthetics of the bedroom but also provides practical functionality.  At the heart of Luminous Steel Cot's offerings are their metal king-sized beds, which are crafted to be both robust and elegant. These beds are designed to accommodate large mattresses comfortably, providing ample space for individuals or couples to rest and relax. The frames are constructed using high-quality steel, known for its strength and durability, ensuring long-lasting support. Luminous Steel Cot pays meticulous attention to detail, incorporating features such as sturdy slats and reinforced joints to prevent sagging and ensure stability over time. The sleek and contemporary designs of their king-sized beds add a touch of sophistication to any bedroom décor, making them a preferred choice for those seeking both style and substance.  For those looking for a slightly smaller option, Luminous Steel Cot offers metal queen-sized beds that embody the same dedication to craftsmanship and durability. These beds are designed with comfort in mind, featuring ergonomic support systems that promote a restful sleep experience. The frames are available in various finishes, from classic matte black to modern brushed steel, allowing customers to choose a design that complements their personal taste and bedroom aesthetics perfectly. The queen-sized beds from Luminous Steel Cot are versatile pieces that blend seamlessly into any bedroom setting, whether contemporary or traditional.  One of the standout features of Luminous Steel Cot's product line is their steel cots with storage options. These innovative designs combine the functionality of a comfortable sleeping surface with the practicality of integrated storage solutions. Perfect for optimizing space in smaller bedrooms or guest rooms, these cots feature built-in drawers or shelves beneath the mattress platform. This clever use of space allows users to store bedding, clothing, or other essentials conveniently, minimizing clutter and maximizing room organization. Luminous Steel Cot ensures that even their storage cots maintain the same high standards of construction and aesthetic appeal as their other products, ensuring a cohesive look throughout the bedroom.  In addition to their commitment to quality materials and craftsmanship, Luminous Steel Cot places a strong emphasis on customer satisfaction. They offer customizable options for their bed frames, allowing customers to select from a range of finishes and additional features to suit their specific preferences. Whether it's choosing a headboard design, adjusting the height of the bed frame, or opting for unique storage configurations, Luminous Steel Cot ensures that each piece of furniture is tailored to meet the individual needs and tastes of their clientele.  In conclusion, Luminous Steel Cot is a trusted name in the realm of bedroom furniture, celebrated for their metal king-sized beds, metal queen-sized beds, and steel cots with innovative storage solutions. Their dedication to craftsmanship, combined with thoughtful design and customizable options, ensures that every piece not only enhances the functionality of the bedroom but also elevates its aesthetic appeal. Whether you're furnishing a master bedroom, guest room, or any other living space, Luminous Steel Cot offers timeless furniture solutions that embody quality, comfort, and style.",,,Delivery Charges Applicable,,Metal Cots,12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,60,,1,TRUE,both,https://drive.google.com/file/d/1_aHHHbYBKZ2q5XhC-cdu5zyx1TmCDSwX/view?usp=drivesdk,https://drive.google.com/file/d/1rZ-EX2dSGzegeuxJOeJH-c-ozunzyWiS/view?usp=drivesdk,,,,,,,,,
Apollo Folding Cot 4 Feet,jf-5210-4f,jf-5210-4f,31199,23999,50,TRUE,Beds,Spacecrafts,"The Apollo Folding Cot 4 Feet is a versatile and space-saving solution for comfortable sleeping arrangements in various settings. Designed with convenience and portability in mind, this single foldable bed is perfect for temporary or occasional use, offering easy setup and storage.  Crafted from sturdy materials, such as steel or aluminum, the Apollo Folding Cot provides reliable support and durability. Its robust frame ensures stability while accommodating a standard single mattress, providing a comfortable sleeping surface. This makes it ideal for overnight guests, camping trips, or as an extra bed in small living spaces where maximizing floor area is crucial.  One of the standout features of the Apollo Folding Cot is its foldable design. The bed effortlessly folds down to a compact size when not in use, allowing for convenient storage in closets, under beds, or in storage rooms. This folding mechanism also facilitates effortless transportation, making it a practical choice for outdoor activities or vacations where space is limited.  In terms of usability, the Apollo Folding Cot offers straightforward assembly and disassembly. Most models require minimal setup, typically involving unfolding the frame and securing it with locking mechanisms. This user-friendly design ensures quick deployment whenever an extra sleeping space is needed, without the hassle of complex assembly processes.  The Apollo Folding Cot is designed to cater to various needs with its space-saving capabilities. Its compact footprint makes it suitable for apartments, dormitories, or any environment where maximizing space is a priority. Despite its folding nature, the cot maintains comfort and support, ensuring a restful night's sleep for users.  Overall, the Apollo Folding Cot 4 Feet combines practicality, durability, and portability into a single foldable bed solution. Whether used as a temporary sleeping arrangement at home or for outdoor adventures, its versatility and space-saving design make it a valuable addition to any household or travel gear collection.",,,Delivery Charges Applicable,,"Folding Beds, space saving furniture",12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,48,,1,TRUE,both,https://drive.google.com/file/d/1lCsuWZLK2i3GzczvJX0BMIou4eBPB9nV/view?usp=drivesdk,https://drive.google.com/file/d/1MklmocLkYC4bkuI9FxQKR88gdSGaw-kd/view?usp=drivesdk,,,,,,,,,
Ancient Folding Cot 5 Feet,jf-5210-5f,jf-5210-5f,36399,27999,50,TRUE,Beds,Spacecrafts,"The Opel Platform Ancient Folding Cot 5 Feet represents a blend of practicality and comfort, perfect for maximizing space in any setting. Crafted from robust steel, this rollaway bed offers a convenient solution for temporary sleeping arrangements without compromising on durability.  Sturdy Construction: Built with durable steel, the Opel Platform Ancient Folding Cot ensures stability and long-lasting performance. The strong frame supports a comfortable sleeping surface, providing reliable support throughout the night.  Foldable Design: Featuring a foldable mechanism, this cot is easy to set up and store. When not in use, it folds compactly for convenient storage in closets, under beds, or in storage rooms. This makes it an ideal choice for guest rooms, vacation homes, or any space where versatility is key.  Space-saving Efficiency: The cot's design maximizes space efficiency, making it suitable for rooms with limited floor space. Its foldable nature allows it to be used as an additional bed for guests or as a primary sleeping solution in smaller living spaces.  Versatility and Usage: Ideal for both residential and commercial use, the Opel Platform Ancient Folding Cot serves various purposes. It provides a comfortable bed for guests, temporary accommodations during home renovations, or for travel purposes.  Assembly and Maintenance: Setting up the Opel Platform Ancient Folding Cot is straightforward and requires minimal effort. The steel frame is easy to clean and maintain, ensuring it remains in top condition for extended use.  Conclusion: In conclusion, the Opel Platform Ancient Folding Cot 5 Feet combines durability, functionality, and space-saving design into a versatile sleeping solution. Whether used for guests or as a temporary bed in smaller spaces, its sturdy construction and foldable design make it an excellent choice for optimizing living areas while ensuring comfort and convenience.",,,Delivery Charges Applicable,,"Folding Beds, space saving furniture",12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,60,,1,TRUE,both,https://drive.google.com/file/d/1L7HLezZFpqD9TgK8glOOLQUTXINirVNN/view?usp=drivesdk,https://drive.google.com/file/d/1VRbsBZtUyxetzopehI5SJSR0tpM-wK2x/view?usp=drivesdk,,,,,,,,,
3feet Recliner Folding Cot,jf-5270-3f,jf-5270-3f,25999,19999,50,TRUE,Beds,Spacecrafts,"The Alpha Recliner Folding Cot combines the functionality of a recliner with the convenience of a foldable cot, offering a versatile solution for space-saving needs. Crafted from durable steel, this cot provides a comfortable sleeping or lounging experience while maximizing floor space efficiency.  Versatile Design: The Alpha Recliner Folding Cot features a dual-purpose design, serving as both a comfortable bed and a reclining chair. This versatility makes it ideal for small apartments, guest rooms, or any space where multi-functional furniture is essential.  Comfortable Reclining Mechanism: Equipped with a reclining backrest, the cot allows users to adjust their position for optimal comfort while reading, watching TV, or relaxing. The sturdy steel frame supports various recline angles, providing personalized comfort levels.  Space-saving Efficiency: Designed for compact living spaces, the foldable nature of the Alpha Recliner Folding Cot ensures easy storage when not in use. It folds down into a compact size, making it convenient to store in closets, under beds, or in storage rooms.  Durable Construction: Crafted from high-quality steel, the cot offers durability and stability for long-term use. The robust frame supports a comfortable sleeping surface, ensuring a restful night's sleep or a relaxing lounging experience.  Practical Usage: Ideal for both overnight guests and daily relaxation, It serves various purposes. Its foldable design makes it suitable for temporary sleeping arrangements or as an additional seating option in living rooms.  Assembly and Maintenance: Setting up the Alpha Recliner Folding Cot is straightforward and requires minimal effort. The steel frame is easy to clean and maintain, ensuring it remains in top condition with regular care.  Conclusion: In conclusion, the Alpha Recliner Folding Cot combines functionality with space-saving efficiency, offering a versatile solution for modern living spaces. Whether used as a bed or a reclining chair, its durable construction and foldable design make it an excellent choice for maximizing comfort and convenience while optimizing floor space.",,,Delivery Charges Applicable,,"Recliner Folding Beds, space saving furniture",12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,36,,1,TRUE,both,https://drive.google.com/file/d/1a-vciBj-GpJT_ZEdkTxsTXNo374vGSM6/view?usp=drivesdk,https://drive.google.com/file/d/11LhLXpZVmp1AOygqPrqlftwGVN1rZg6i/view?usp=drivesdk,,,,,,,,,
Metal leg double cot,jf-5555,jf-5555,23399,17999,50,TRUE,Beds,Spacecrafts,"This modern upholstered metal cot, measuring 75 × 60 inches, combines durability with comfort and elegant design. It features a sturdy metal frame with a refined padded headboard and footboard, complemented by a comfortable cushion for a cozy sleeping experience. Its clean, contemporary appearance makes it a stylish and practical addition to any modern bedroom.",,,Delivery Charges Applicable,,Queen size cot metal,12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,60,,1,TRUE,both,https://drive.google.com/file/d/1Tun1IDjanxVvGJOK4P7DA69fxaeNtAH3/view?usp=drivesdk,https://drive.google.com/file/d/1-xRngN1MMsKSeSt3mJ-n_QsBzC2NzowC/view?usp=drivesdk,,,,,,,,,
Fontanka Bunker Cot,jf-9090,jf-9090,40299,30999,50,TRUE,Beds,Spacecrafts,"The Fontanka Bunker Cot is a versatile and space-saving solution designed to maximize room efficiency without compromising on comfort or safety. This double-decker bed features a sturdy build, making it suitable for children's rooms, dormitories, or guest accommodations where space is limited.  Design and Structure: Crafted from durable materials, It incorporates a robust frame with secure guardrails on the upper bunk to ensure safety during sleep. The bunk bed's design optimizes vertical space, making it ideal for smaller rooms or apartments.  Space-saving Efficiency: Ideal for environments where space is at a premium, the Fontanka Bunker Cot allows for efficient use of floor space by utilizing vertical rather than horizontal space. This design feature frees up valuable floor area for other furniture or activities.  Versatility and Practicality: The Fontanka Bunker Cot serves multiple purposes, functioning as both a sleeping area and a seating arrangement if needed. It accommodates two individuals comfortably, making it suitable for siblings sharing a room or for hosting guests overnight.  Safety Features: Safety is paramount with the Fontanka Bunker Cot, featuring a sturdy ladder for easy access to the top bunk and guardrails to prevent accidental falls during sleep. These safety measures ensure peace of mind for parents and guardians.  Assembly and Maintenance: Assembly of the Fontanka Bunker Cot is straightforward, with comprehensive instructions provided for ease of setup. The materials used are durable and easy to maintain, requiring simple cleaning to preserve their quality over time.  Conclusion: In conclusion, the Fontanka Bunker Cot is an excellent choice for anyone seeking to maximize space efficiency in their living or sleeping arrangements. Its sturdy construction, safety features, and versatile design make it a practical and reliable option for various settings, ensuring both comfort and functionality without sacrificing style.",,,Delivery Charges Applicable,,"Bunk Beds, space saving furniture",12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,,,1,TRUE,both,https://drive.google.com/file/d/1pvCkU0JvrB3IPSHefq6SEPeDqZwZ7z5c/view?usp=drivesdk,https://drive.google.com/file/d/1KkdOSNuW3MaQB6gWLbIXAbeeznutoiB0/view?usp=drivesdk,,,,,,,,,
Cosmo Sofa Cum Bed Double,jf-1155d,jf-1155d,28999,22299,50,TRUE,Beds,Spacecrafts,"The Cosmo Sofa Cum Bed Double redefines versatility and comfort, serving as a space-saving solution that seamlessly integrates into any modern living space. This innovative piece of furniture combines the functionality of a sofa and a bed, offering dual-purpose utility without compromising on style.  Designed for maximum comfort, the Cosmo Sofa Cum Bed Double features full cushions that provide plush seating during the day. The cushions are typically crafted from high-quality materials that offer support and durability, ensuring a cozy lounging experience for extended periods.  Transforming into a bed is effortless with its foldable mechanism. The sofa smoothly converts into a comfortable full-size bed, making it ideal for overnight guests or as an additional sleeping option in smaller apartments. This flexibility makes it a practical choice for households that need to optimize their living space without sacrificing comfort.  The Cosmo Sofa Cum Bed Double also excels in space-saving functionality. Its compact design and efficient use of space allow it to fit seamlessly into various room layouts. This is particularly beneficial in urban settings where maximizing every square foot is essential, offering a versatile solution that adapts to different needs throughout the day.  In terms of aesthetics, the Cosmo Sofa Cum Bed Double enhances the visual appeal of any room. Its modern design and clean lines complement contemporary décor styles, adding a touch of sophistication to the living space. Available in a range of colors and upholstery options, it can be customized to suit individual preferences and interior themes.  Furthermore, the durability of the materials used ensures long-term reliability and ease of maintenance. The upholstery is often designed to be stain-resistant and easy to clean, making it practical for everyday use and ensuring that it retains its aesthetic appeal over time.  Overall, the Cosmo Sofa Cum Bed Double is a versatile and stylish addition to any home. Whether used as a sofa during the day or a comfortable bed at night, its space-saving design, comfortable cushions, and modern aesthetic make it an ideal choice for those looking to maximize functionality without compromising on comfort or style.",,,Delivery Charges Applicable,,"Sofa Cum Beds, space saving furniture",12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,75,60,,1,TRUE,both,https://drive.google.com/file/d/1BQ_aYtkn2DOjBi-2dqbKZvpu-SQRgl_6/view?usp=drivesdk,https://drive.google.com/file/d/1MroI8ssJoIUqVytiYW-BrRSkQCB_kVBU/view?usp=drivesdk,,,,,,,,,
Lombard Pull Out Table,fw-4656,fw-4656,12999,9999,50,TRUE,Tables,Spacecrafts,"The Lombard Space Saving galère table seamlessly blends functionality with fineness, making it an ideal choice for ultramodern living spaces. drafted from high- quality wood, this innovative piece serves multiple purposes, primarily performing as a laptop table, space- saving table, and study table. Designed with practicality in mind, the Lombard table unfolds painlessly to reveal a commodious face area, perfect for accommodating laptops and study accoutrements . Its sturdy rustic construction ensures continuity while maintaining a satiny and sophisticated appearance that complements any scenery.  One of its name features is its foldable medium, which allows the table to be fluently stowed down when not in use, making it an excellent result for lower apartments or apartments where optimizing space is pivotal. Whether you need a temporary workspace or a designated area for focused study sessions, the Lombard table adapts to your requirements with its versatility and compact design. The tabletop face is smooth and conducive to writing or codifying, furnishing a stable platform for laptops and books likewise. The wood finish not only enhances its aesthetic appeal but also adds a touch of warmth to any terrain, creating a welcoming atmosphere for productivity or relaxation. The Lombard Space Saving galère table is a phenomenon of ultramodern cabinetwork design, finagled to optimize both functionality and space effectiveness. drafted strictly from high- quality wood, this protean piece serves as a multifunctional result, feeding primarily as a laptop table, space- saving table, and study table. Its sturdy rustic construction not only ensures continuity but also lends a dateless fineness to any terrain.  The natural grain and finish of the wood add warmth and complication, making it a flawless fit for colorful interior styles, from contemporary minimalism to rustic charm. What sets the Lombard table piecemeal is its innovative foldable design, ingeniously drafted to maximize space application. When not in use, the table painlessly folds down to a compact size, making it ideal for small apartments, plant spaces, or apartments where every square inch counts. This point not only enhances its mileage but also makes it easy to store or transport, icing convenience and rigidity. The tabletop face of the Lombard table is commodious enough to accommodate laptops, books, or study accoutrements comfortably. Its smooth finish provides a conducive terrain for jotting, typing, or engaging in focused tasks, promoting productivity and effectiveness. Whether you are a pupil demanding a devoted study area, a remote worker seeking a flexible workspace, or simply someone who values practical cabinetwork results, the Lombard table adapts painlessly to meet your requirements. Beyond its functional attributes, the Lombard table embodies artificer and trustability.  Each detail, from its sturdy legs to its secure folding medium, is designed with perfection to offer stability and long- term use. It's a testament to how thoughtful design can enhance everyday living, furnishing a harmonious mix of style, mileage, and space- saving invention. In conclusion, the Lombard Space Saving galère table stands as a testament to imagination in cabinetwork design. It seamlessly integrates into different living and working spaces, offering a protean platform for work, study, or rest conditioning. With its mix of continuity, aesthetic appeal, and space- saving features, the Lombard table isn't just a piece of cabinetwork but a practical result for ultramodern cultures.",,,Delivery Charges Applicable,,"Study Tables, pullout Tables",12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,54,18,,1,TRUE,both,https://drive.google.com/file/d/1DBQf-RMAskU4fEYXNs2vsH9-d9arpIvv/view?usp=drivesdk,https://drive.google.com/file/d/1fvolttabjiQWfwBRshYNexNH45_JR03i/view?usp=drivesdk,,,,,,,,,
Jinli Sliding Study Desk,fw-4545,fw-4545,12999,9999,50,TRUE,Tables,Spacecrafts,"The Jinli Sliding Study Desk is the quintessential solution for modern study spaces, designed to seamlessly blend functionality with style. Perfectly suited for students, home offices, or any area requiring a dedicated study station, this desk is a marvel of space efficiency and practical design.  Constructed with durability in mind, the Jinli Sliding Study Desk features a robust and elegant surface that is both stylish and easy to maintain. The sleek design is complemented by a range of smart features, making it an essential addition to any study environment.  One of the standout attributes of the Jinli Study Desk is its innovative sliding mechanism. This feature allows you to adjust the desk’s dimensions according to your needs, whether you require more workspace or wish to maximize room space. The sliding functionality is incredibly user-friendly, enabling you to expand or contract the desk with minimal effort.  The desk is equipped with ample storage solutions, catering to the needs of students and professionals alike. It includes multiple compartments and drawers, which are ideal for organizing books, stationery, and other study essentials. This thoughtful inclusion of storage helps keep your workspace clutter-free, promoting a more productive and focused study session.  The Jinli Sliding Study Desk is designed to accommodate various study chairs, ensuring a comfortable and ergonomic setup. Its height and width adjustments pair seamlessly with most study chairs, allowing for a personalized fit that enhances overall comfort during extended periods of use.  In addition to its practical features, the desk’s design is aesthetically pleasing, making it a stylish choice for any modern decor. The clean lines and minimalist approach ensure that it complements a wide range of interior styles, from contemporary to classic.  For those concerned with space, the Jinli Study Desk excels in space-saving functionality. Its adaptable design means it can fit into tighter spaces without sacrificing functionality or comfort. When not in use, the desk can be compacted to provide more room, making it an excellent choice for smaller areas or multi-purpose rooms.  Overall, the Jinli Sliding Study Desk offers a comprehensive solution for anyone in need of a versatile, stylish, and practical study area. Its space-saving features, ample storage, and adjustable design make it a top choice for students and professionals seeking an efficient workspace that adapts to their needs.",,,Delivery Charges Applicable,,Study Chairs,12,Standard,FALSE,FALSE,FALSE,FALSE,,,,,,,,1,TRUE,both,https://drive.google.com/file/d/1ZtLknQhfp8vYlTCXEOreMsnIxbdYP9Z4/view?usp=drivesdk,https://drive.google.com/file/d/1HlGfwA0vbJ_YKsdcRygXPuSiU6lN2w26/view?usp=drivesdk,,,,,,,,,
